time,raw_cell_0,raw_cell_1,raw_cell_2,raw_cell_3,temperature,pressure,hymidity,flow_air,flow_test_gas,amp2ppm_0,amp2ppm_1,amp2ppm_2,amp2ppm_3,base_line_0,base_line_1,base_line_2,base_line_3
20220420-164114,,,,,,,,0.0,0.1917,,,,,,,,
20220420-164124,,,,,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-164134,-4.304270659504137e+35,220299.65475667268,1.4345612261023417e-29,3.745166327693079e-31,,,,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-164144,-4.304270659504137e+35,220299.65475667268,1.4345612261023417e-29,3.745166327693079e-31,0.0,0.0,22313697.28,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-164154,-4.304270659504137e+35,220299.65475667268,1.4345612261023417e-29,3.745166327693079e-31,0.0,0.0,22313697.28,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-164204,-4.304270659504137e+35,220299.65475667268,1.4345612261023417e-29,3.745166327693079e-31,0.0,0.0,22313697.28,0.0,0.1917,700.0,4600.0,4600.0,4500.0,0.0,0.0,0.0,0.0
20220420-164214,4600.000011123484,1.793662034335766e-33,-5.180427222118658e-29,3.7652553424776397e-29,0.0,0.0,22313697.28,0.0,0.1804,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-164224,4600.000011123484,1.793662034335766e-33,-5.180427222118658e-29,3.7652553424776397e-29,0.0,0.0,22313697.28,0.0,0.1917,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-164234,4600.000011123484,1.793662034335766e-33,-5.180427222118658e-29,3.7652553424776397e-29,0.0,0.0,22313697.28,0.0,0.1917,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-164244,6.958926556867942e-27,2.3978301311439277e-24,-4.115014025994886e-16,5453.824996948242,0.0,0.0,22313697.28,0.0,0.1804,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-164254,6.958926556867942e-27,2.3978301311439277e-24,-4.115014025994886e-16,5453.824996948242,0.0,0.0,22313697.28,0.0,0.1917,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
20220420-164304,6.958926556867942e-27,2.3978301311439277e-24,-4.115014025994886e-16,5453.824996948242,0.0,0.0,22313697.28,0.0,0.485,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
